Old_Range,Old_ExtraAffectResult,New_Damage,New_FullRangeDescription,Old_WasEditedForGame,New_NumOfTurns,Old_NumOfTargets,Old_LengthOfBonusAffect,Old_FullRangeDescription,New_LengthOfExtraAffect,Old_Damage,New_ContributedBy,Old_NumOfTurns,New_LengthOfBonusAffect,Old_AttackCategory,Old_AccuracyBonusType,Old_AC,New_AccuracyBonusType,New_ElementType,New_ContestStats,Old_AccuracyBonusResult,Old_ContributedBy,New_WasEditedForGame,AttackName,New_NumOfTargets,New_Category,New_AC,Old_AccuracyCheckBonus,New_AttackEffects,Old_ExtraAffectType,Old_ContestStats,New_Frequency,New_AccuracyCheckBonus,New_ExtraAffectType,Old_Frequency,Old_LengthOfExtraAffect,New_Range,New_AttackCategory,New_ExtraAffectResult,New_AccuracyBonusResult,Old_ElementType,Old_Category,Old_AttackEffects
Field,,-,"Field, Target Area, Weather",0,, Target Area,,"Field, Target Area, Weather",,-,,,, Weather,,0,,Rock,Tough - 2d4 - Hold That Thought,,,0,Sandstorm, Target Area,Effect,0,,"For 1d4+1 rounds, the area is considered Sandstorming. At the beginning of each round, all non-Ground, Rock, or Steel Type Pokemon lose 1/16th of their full HP. Rock Type Pokemon are treated as if their Special Defense is raised 2 Combat Stages while Sandstorming.",,Tough - 2d4 - Hold That Thought,Battle,,,Battle,,Field, Weather,,,Rock,Effect,"For 1d4+1 rounds, the area is considered Sandstorming. At the beginning of each round, all non-Ground, Rock, or Steel Type Pokemon lose 1/16th of their full HP. Rock Type Pokemon are treated as if their Special Defense is raised 2 Combat Stages while Sandstorming."
Field,,-,"Field, Target Area, Weather",0,, Target Area,,"Field, Target Area, Weather",,-,,,, Weather,,0,,Water,Tough - 2d4 - Hold That Thought,,,0,Rain Dance, Target Area,Effect,0,,"For 1d4+1 rounds, the area is considered Rainy. While Rainy, Water-Type attacks deal 1.5x damage. Fire-Type attacks deal 1/2 the damage they normally would.",,Tough - 2d4 - Hold That Thought,Battle,,,Battle,,Field, Weather,,,Water,Effect,"For 1d4+1 rounds, the area is considered Rainy. While Rainy, Water-Type attacks deal 1.5x damage. Fire-Type attacks deal 1/2 the damage they normally would."
Ranged (2),,-,"Ranged (2), No Target, Wall",0,, No Target,,"Ranged (2), No Target, Wall",,-,,,, Wall,,0,,Normal,Beauty - 2d4 - Hold That Thought,,,0,Safeguard, No Target,Effect,0,,"Place 10-meters of Wall that can be passed through and attacked through. If the effect of a Move that targets through any Walls of Safeguard cause a Status Affliction, they cannot cause a Status Affliction. The Walls sustain for 5 rounds.",,Beauty - 2d4 - Hold That Thought,At-Will,,,At-Will,,Ranged (2), Wall,,,Normal,Effect,"Place 10-meters of Wall that can be passed through and attacked through. If the effect of a Move that targets through any Walls of Safeguard cause a Status Affliction, they cannot cause a Status Affliction. The Walls sustain for 5 rounds."
Ranged (3),,-,"Ranged (3), No Target, Wall",0,, No Target,,"Ranged (3), No Target, Wall",,-,,,, Wall,,0,,Normal,Smart - 2d4 - Unsettling,,,0,Smokescreen, No Target,Effect,0,,"Place 5-meters of Wall that can be passed through and attacked through. Smokescreen's Walls must be placed within 3-meters of the user. If anyone's Move tries to target through a Smokescreen wall, they must roll +3 during Accuracy Check to hit. The walls remain for 10 rounds. Brick Break cannot break Smokescreen's Walls.",,Smart - 2d4 - Unsettling,EOT,,,EOT,,Ranged (3), Wall,,,Normal,Effect,"Place 5-meters of Wall that can be passed through and attacked through. Smokescreen's Walls must be placed within 3-meters of the user. If anyone's Move tries to target through a Smokescreen wall, they must roll +3 during Accuracy Check to hit. The walls remain for 10 rounds. Brick Break cannot break Smokescreen's Walls."
Ranged (3),,-,"Ranged (3), No Target, Wall",0,, No Target,,"Ranged (3), No Target, Wall",,-,,,, Wall,,0,,Psychic,Smart - None - Get Ready!,,,0,Kinesis, No Target,Effect,0,,"Place 5-meters of Wall that can be passed through and attacked through. If anyone's Move tries to target through a Kinesis Wall, they must roll +3 during Accuracy Check to hit. The walls remain for 10 rounds. Brick Break cannot break Kinesis' Walls.",,Smart - None - Get Ready!,EOT,,,EOT,,Ranged (3), Wall,,,Psychic,Effect,"Place 5-meters of Wall that can be passed through and attacked through. If anyone's Move tries to target through a Kinesis Wall, they must roll +3 during Accuracy Check to hit. The walls remain for 10 rounds. Brick Break cannot break Kinesis' Walls."
Melee,,-,"Melee, No Target, Wall",0,, No Target,,"Melee, No Target, Wall",,-,,,, Wall,,0,,Psychic,Beauty - 2d4 - Hold That Thought,,,0,Light Screen, No Target,Effect,0,,"The user may shift while placing Light Screen Walls if their Speed allows for the extra movement. Place 5-meters of Wall that cannot be passed through but may be attacked through. If a Move tries to attack through Light Screen Walls, treat the target as if their Special Defense is raised 2 Combat Stages. This bonus cannot be awarded more then once. The walls sustain for 1d4+1 turns.",,Beauty - 2d4 - Hold That Thought,EOT,,,EOT,,Melee, Wall,,,Psychic,Effect,"The user may shift while placing Light Screen Walls if their Speed allows for the extra movement. Place 5-meters of Wall that cannot be passed through but may be attacked through. If a Move tries to attack through Light Screen Walls, treat the target as if their Special Defense is raised 2 Combat Stages. This bonus cannot be awarded more then once. The walls sustain for 1d4+1 turns."
Melee,,-,"Melee, No Target, Wall",0,, No Target,,"Melee, No Target, Wall",,-,,,, Wall,,0,,Psychic,Smart - 2d4 - Excitement,,,0,Reflect, No Target,Effect,0,,"The user may shift while placing Reflect Walls if their Speed allows for the extra movement. Place 5-meters of Wall that cannot be passed through but may be attacked through. If a Move tries to attack through Reflect Walls, treat the target as if their Defense is raised 2 Combat Stages. This bonus cannot be awarded more then once. The walls remain for 1d4+1 turns.",,Smart - 2d4 - Excitement,EOT,,,EOT,,Melee, Wall,,,Psychic,Effect,"The user may shift while placing Reflect Walls if their Speed allows for the extra movement. Place 5-meters of Wall that cannot be passed through but may be attacked through. If a Move tries to attack through Reflect Walls, treat the target as if their Defense is raised 2 Combat Stages. This bonus cannot be awarded more then once. The walls remain for 1d4+1 turns."
Ranged (5),,-,"Ranged (5), 1 Target, Trap",0,, 1 Target,,"Ranged (5), 1 Target, Trap",,-,,,, Trap,,0,,Bug,Smart - 2d4 - Hold That Thought,,,0,Spider Web, 1 Target,Effect,0,,Spider Web cannot miss. *Grants: Threaded,,Smart - 2d4 - Hold That Thought,Center,,,Center,,Ranged (5), Trap,,,Bug,Effect,Spider Web cannot miss. *Grants: Threaded
Ranged (10),,1d12+6,"Ranged (10), 1 Target, Trap",0,, 1 Target,,"Ranged (10), 1 Target, Trap",,1d12+6,,,, Trap,,4,,Fire,Beauty - None - Torrential Appeal,,,0,Fire Spin, 1 Target,Special,4,,"Fire Spin Traps the target for 1d4+1 turns. At the beginning of the target's turn, if the target is Trapped, roll 1d12 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Fire Spin may not trap more then one target at a time. *Grants: Firestarter",,Beauty - None - Torrential Appeal,EOT,,,EOT,,Ranged (10), Trap,,,Fire,Special,"Fire Spin Traps the target for 1d4+1 turns. At the beginning of the target's turn, if the target is Trapped, roll 1d12 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Fire Spin may not trap more then one target at a time. *Grants: Firestarter"
Ranged (8),,5d12+18,"Ranged (8), 1 Target, Trap",0,, 1 Target,,"Ranged (8), 1 Target, Trap",,5d12+18,,,, Trap,,7,,Fire,Tough - 2d4 - Reliable,,,0,Magma Storm, 1 Target,Special,7,,"Magma Storm Traps the target for 1d4+1 turns. At the beginning of the target's turn, if the target is Trapped, roll 2d20 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Magma Storm may not trap more then one target at a time.",,Tough - 2d4 - Reliable,Center,,,Center,,Ranged (8), Trap,,,Fire,Special,"Magma Storm Traps the target for 1d4+1 turns. At the beginning of the target's turn, if the target is Trapped, roll 2d20 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Magma Storm may not trap more then one target at a time."
Ranged (6),,1d12+6,"Ranged (6), 1 Target, Trap",0,, 1 Target,,"Ranged (6), 1 Target, Trap",,1d12+6,,,, Trap,,4,,Ground,Smart - None - Torrential Appeal,,,0,Sand Tomb, 1 Target,Physical,4,,"Sand Tomb Traps the target for 1d4+1 turns. At the beginning of the target's turn, if the target is Trapped, roll 1d12 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Sand Tomb may not trap more then one target at a time.",,Smart - None - Torrential Appeal,EOT,,,EOT,,Ranged (6), Trap,,,Ground,Physical,"Sand Tomb Traps the target for 1d4+1 turns. At the beginning of the target's turn, if the target is Trapped, roll 1d12 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Sand Tomb may not trap more then one target at a time."
Melee,,1d6+3,"Melee, 1 Target, Trap",0,, 1 Target,,"Melee, 1 Target, Trap",,1d6+3,,,, Trap,,4,,Normal,Tough - None - Torrential Appeal,,,0,Bind, 1 Target,Physical,4,,"Bind Traps the target and the user for 1d4+1 turns. At the beginning of the target's turn, if the target is Trapped, roll 1d12 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Bind may not trap more then one target at a time unless the User is Huge or Gigantic.",,Tough - None - Torrential Appeal,EOT,,,EOT,,Melee, Trap,,,Normal,Physical,"Bind Traps the target and the user for 1d4+1 turns. At the beginning of the target's turn, if the target is Trapped, roll 1d12 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Bind may not trap more then one target at a time unless the User is Huge or Gigantic."
Melee,,-,"Melee, 1 Target, Trap",0,, 1 Target,,"Melee, 1 Target, Trap",,-,,,, Trap,,2,,Normal,Cute - 2d4 - Hold That Thought,,,0,Block, 1 Target,Effect,2,,Both the user and the target are Trapped.,,Cute - 2d4 - Hold That Thought,Battle,,,Battle,,Melee, Trap,,,Normal,Effect,Both the user and the target are Trapped.
Melee,,1d6+3,"Melee, 1 Target, Trap",0,, 1 Target,,"Melee, 1 Target, Trap",,1d6+3,,,, Trap,,4,,Normal,Tough - None - Torrential Appeal,,,0,Wrap, 1 Target,Physical,4,,"Wrap Traps the target and the user for 1d4+1 turns. At the beginning of the target's turn, if the target is Trapped, roll 1d12 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Wrap may not trap more then one target at a time unless the user is Huge or Gigantic.",,Tough - None - Torrential Appeal,EOT,,,EOT,,Melee, Trap,,,Normal,Physical,"Wrap Traps the target and the user for 1d4+1 turns. At the beginning of the target's turn, if the target is Trapped, roll 1d12 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Wrap may not trap more then one target at a time unless the user is Huge or Gigantic."
Melee,,1d12+6,"Melee, 1 Target, Trap",0,, 1 Target,,"Melee, 1 Target, Trap",,1d12+6,,,, Trap,,4,,Water,Tough - 3d4 - No Effect,,,0,Clamp, 1 Target,Physical,4,,"Clamp Traps the target and the user for 1d4+1 turns. At the beginning of the target's turn, if the target is Trapped, roll 1d12 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Clamp may not trap more then one target at a time unless the user is Huge or Gigantic.",,Tough - 3d4 - No Effect,EOT,,,EOT,,Melee, Trap,,,Water,Physical,"Clamp Traps the target and the user for 1d4+1 turns. At the beginning of the target's turn, if the target is Trapped, roll 1d12 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Clamp may not trap more then one target at a time unless the user is Huge or Gigantic."
Ranged(5),,1d12+6,"Ranged(5), 1 Target, Trap",0,, 1 Target,,"Ranged(5), 1 Target, Trap",,1d12+6,,,, Trap,,4,,Water,Beauty - None - Torrential Appeal,,,0,Whirlpool, 1 Target,Special,4,,"Whirlpool Traps the target for 1d4+1 turns. At the beginning of the target's turn, if the target is Trapped, roll 1d12 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Whirlpool may not trap more then one target at a time.",,Beauty - None - Torrential Appeal,EOT,,,EOT,,Ranged(5), Trap,,,Water,Special,"Whirlpool Traps the target for 1d4+1 turns. At the beginning of the target's turn, if the target is Trapped, roll 1d12 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Whirlpool may not trap more then one target at a time."
Ranged (4),,3d10+12,"Ranged (4), 1 Target, Spirit Surge",0,, 1 Target,,"Ranged (4), 1 Target, Spirit Surge",,3d10+12,,,, Spirit Surge,,2,,Fire,Cool - 2d4 - Round Ender,,,0,Fiery Dance, 1 Target,Special,2,,Fiery Dance raises the user's Special Attack by 1 Combat Stage on 11-20 on Accuracy Check.,,Cool - 2d4 - Round Ender,Battle,,,Battle,,Ranged (4), Spirit Surge,,,Fire,Special,Fiery Dance raises the user's Special Attack by 1 Combat Stage on 11-20 on Accuracy Check.
Melee,,1d6+3,"Melee, 1 Target, Spirit Surge",0,, 1 Target,,"Melee, 1 Target, Spirit Surge",,1d6+3,,,, Spirit Surge,,2,,Normal,Cool - None - Get Ready!,,,0,Rage, 1 Target,Physical,2,,"The user's Attack is raised 1 Combat Stage as long as they used Rage on their previous turn. If the user is damaged by an attack before it's next turn, its Attack is raised 1 Combat Stage.",,Cool - None - Get Ready!,At-Will,,,At-Will,,Melee, Spirit Surge,,,Normal,Physical,"The user's Attack is raised 1 Combat Stage as long as they used Rage on their previous turn. If the user is damaged by an attack before it's next turn, its Attack is raised 1 Combat Stage."
Ranged (10),,1d6+1,"Ranged (10), 1 Target, Scatter",0,, 1 Target,,"Ranged (10), 1 Target, Scatter",,1d6+1,,,, Scatter,,4,,Bug,Cool - 2d4 - Reliable,,,0,Pin Missile, 1 Target,Physical,4,,"Pin Missile can hit up to 5 times. Once the user misses, they cannot attempt to make another Pin Missile attack on that turn.",,Cool - 2d4 - Reliable,EOT,,,EOT,,Ranged (10), Scatter,,,Bug,Physical,"Pin Missile can hit up to 5 times. Once the user misses, they cannot attempt to make another Pin Missile attack on that turn."
Melee,,1d8+3,"Melee, 1 Target, Scatter",0,, 1 Target,,"Melee, 1 Target, Scatter",,1d8+3,,,, Scatter,,3,,Bug,Cool - 2d4 - Reliable,,,0,Twineedle, 1 Target,Physical,3,,"Twineedle can hit up to 2 times. If Twineedle misses its first target, you may still use it a second time. If you rolled an 18-20 on either Accuracy Check, the target is Poisoned.",,Cool - 2d4 - Reliable,EOT,,,EOT,,Melee, Scatter,,,Bug,Physical,"Twineedle can hit up to 2 times. If Twineedle misses its first target, you may still use it a second time. If you rolled an 18-20 on either Accuracy Check, the target is Poisoned."
Melee,,1d12+X,"Melee, 1 Target, Scatter",0,, 1 Target,,"Melee, 1 Target, Scatter",,1d12+X,,,, Scatter,,2,,Dark,Smart - 2d4 - Reliable,,,0,Beat Up, 1 Target,Physical,2,,"Beat Up can hit up to X time. X is the amount of pokemon on the user's roster including the user, up to a maximum of 6. Once the user misses, they cannot attempt to make another Beat Up attack on that turn. You may choose any Pokemon's Attack stat, from your roster, to calculate damage instead of using the user's Attack stat.",,Smart - 2d4 - Reliable,Battle,,,Battle,,Melee, Scatter,,,Dark,Physical,"Beat Up can hit up to X time. X is the amount of pokemon on the user's roster including the user, up to a maximum of 6. Once the user misses, they cannot attempt to make another Beat Up attack on that turn. You may choose any Pokemon's Attack stat, from your roster, to calculate damage instead of using the user's Attack stat."
Melee,,2d8+6,"Melee, 1 Target, Scatter",0,, 1 Target,,"Melee, 1 Target, Scatter",,2d8+6,,,, Scatter,,3,,Dragon,Tough - 2d4 - Reliable,,,0,Dual Chop, 1 Target,Physical,3,,"Dual Chop can hit up to 2 times. If Dual Chop misses its first target, you may still use it a second time.",,Tough - 2d4 - Reliable,EOT,,,EOT,,Melee, Scatter,,,Dragon,Physical,"Dual Chop can hit up to 2 times. If Dual Chop misses its first target, you may still use it a second time."
Melee,,1d6+1,"Melee, 1 Target, Scatter",0,, 1 Target,,"Melee, 1 Target, Scatter",,1d6+1,,,, Scatter,,4,,Electric,Tough - 2d4 - Reliable,,,0,Arm Thrust, 1 Target,Physical,4,,"Arm Thrust can hit up to 5 times. Once the user misses, they cannot attempt to make another Arm Thrust attack on that turn.",,Tough - 2d4 - Reliable,EOT,,,EOT,,Melee, Scatter,,,Electric,Physical,"Arm Thrust can hit up to 5 times. Once the user misses, they cannot attempt to make another Arm Thrust attack on that turn."
Melee,,1d10+4,"Melee, 1 Target, Scatter",0,, 1 Target,,"Melee, 1 Target, Scatter",,1d10+4,,,, Scatter,,3,,Fighting,Cool - 2d4 - Reliable,,,0,Double Kick, 1 Target,Physical,3,,"Double Kick can hit up to 2 times. If Double Kick misses its first target, you may still use it a second time.",,Cool - 2d4 - Reliable,EOT,,,EOT,,Melee, Scatter,,,Fighting,Physical,"Double Kick can hit up to 2 times. If Double Kick misses its first target, you may still use it a second time."
Melee,,1d6+1,"Melee, 1 Target, Scatter",0,, 1 Target,,"Melee, 1 Target, Scatter",,1d6+1,,,, Scatter,,3,,Fighting,Cool - 3d4 - Reliable,,,0,Triple Kick, 1 Target,Physical,3,,"Triple Kick can hit up to 3 times. If Triple Kick misses its first or second target, you may still use it a second and third time. For the third use of Triple Kick, if you successfully hit the same target for the first two uses of Triple Kick use 3d10+12 for Triple Kick's Damage Dice Roll.",,Cool - 3d4 - Reliable,Battle,,,Battle,,Melee, Scatter,,,Fighting,Physical,"Triple Kick can hit up to 3 times. If Triple Kick misses its first or second target, you may still use it a second and third time. For the third use of Triple Kick, if you successfully hit the same target for the first two uses of Triple Kick use 3d10+12 for Triple Kick's Damage Dice Roll."
Ranged (8),,1d10+4,"Ranged (8), 1 Target, Scatter",0,, 1 Target,,"Ranged (8), 1 Target, Scatter",,1d10+4,,,, Scatter,,4,,Grass,Cool - 2d4 - Reliable,,,0,Bullet Seed, 1 Target,Physical,4,,"Bullet Seed can hit up to 5 times. Once the user misses, they cannot attempt to make another Bullet Seed attack on that turn.",,Cool - 2d4 - Reliable,At-Will,,,At-Will,,Ranged (8), Scatter,,,Grass,Physical,"Bullet Seed can hit up to 5 times. Once the user misses, they cannot attempt to make another Bullet Seed attack on that turn."
Melee,,1d10+4,"Melee, 1 Target, Scatter",0,, 1 Target,,"Melee, 1 Target, Scatter",,1d10+4,,,, Scatter,,4,,Ground,Tough - 2d4 - Reliable,,,0,Bone Rush, 1 Target,Physical,4,,"Bone Rush can hit up to 5 times. Once the user misses, they cannot attempt to make another Bone Rush attack on that turn.",,Tough - 2d4 - Reliable,EOT,,,EOT,,Melee, Scatter,,,Ground,Physical,"Bone Rush can hit up to 5 times. Once the user misses, they cannot attempt to make another Bone Rush attack on that turn."
Ranged (8),,2d12+8,"Ranged (8), 1 Target, Scatter",0,, 1 Target,,"Ranged (8), 1 Target, Scatter",,2d12+8,,,, Scatter,,3,,Ground,Tough - 2d4 - Reliable,,,0,Bonemerang, 1 Target,Physical,3,,"Bonemerang can hit up to 2 times. If Bonemerang misses its first target, you may still use it a second time.",,Tough - 2d4 - Reliable,EOT,,,EOT,,Ranged (8), Scatter,,,Ground,Physical,"Bonemerang can hit up to 2 times. If Bonemerang misses its first target, you may still use it a second time."
Ranged (6),,1d10+4,"Ranged (6), 1 Target, Scatter",0,, 1 Target,,"Ranged (6), 1 Target, Scatter",,1d10+4,,,, Scatter,,4,,Ice,Beauty - 2d4 - Reliable,,,0,Icicle Spear, 1 Target,Physical,4,,"Icicle Spear can hit up to 5 times. Once the user misses, they cannot attempt to make another Icicle Spear attack on that turn.",,Beauty - 2d4 - Reliable,EOT,,,EOT,,Ranged (6), Scatter,,,Ice,Physical,"Icicle Spear can hit up to 5 times. Once the user misses, they cannot attempt to make another Icicle Spear attack on that turn."
