Key:AttackName NVARCHAR(100),WasEditedForGame INT,Category NVARCHAR(100),ElementType NVARCHAR(100),Frequency NVARCHAR(100),Range NVARCHAR(100),AttackCategory NVARCHAR(100),NumOfTargets NVARCHAR(100),NumOfTurns NVARCHAR(100),AC NVARCHAR(100),Damage NVARCHAR(100),AttackEffects NVARCHAR(MAX),ExtraAffectType NVARCHAR(100),ExtraAffectResult NVARCHAR(100),LengthOfExtraAffect NVARCHAR(100),AccuracyCheckBonus NVARCHAR(100),AccuracyBonusType NVARCHAR(100),AccuracyBonusResult NVARCHAR(100),LengthOfBonusAffect NVARCHAR(100),FullRangeDescription NVARCHAR(MAX),ContestStats NVARCHAR(MAX),ContributedBy NVARCHAR(100)
Pin Missile,0,Physical,Bug,EOT,Ranged (10), Scatter, 1 Target,,4,1d6+1,"Pin Missile can hit up to 5 times. Once the user misses, they cannot attempt to make another Pin Missile attack on that turn.",,,,,,,,"Ranged (10), 1 Target, Scatter",Cool - 2d4 - Reliable,
Twineedle,0,Physical,Bug,EOT,Melee, Scatter, 1 Target,,3,1d8+3,"Twineedle can hit up to 2 times. If Twineedle misses its first target, you may still use it a second time. If you rolled an 18-20 on either Accuracy Check, the target is Poisoned.",,,,,,,,"Melee, 1 Target, Scatter",Cool - 2d4 - Reliable,
Beat Up,0,Physical,Dark,OncePerBattle,Melee, Scatter, 1 Target,,2,1d12+X,"Beat Up can hit up to X time. X is the amount of pokemon on the user's roster including the user, up to a maximum of 6. Once the user misses, they cannot attempt to make another Beat Up attack on that turn. You may choose any Pokemon's Attack stat, from your roster, to calculate damage instead of using the user's Attack stat.",,,,,,,,"Melee, 1 Target, Scatter",Smart - 2d4 - Reliable,
Dual Chop,0,Physical,Dragon,EOT,Melee, Scatter, 1 Target,,3,2d8+6,"Dual Chop can hit up to 2 times. If Dual Chop misses its first target, you may still use it a second time.",,,,,,,,"Melee, 1 Target, Scatter",Tough - 2d4 - Reliable,
Arm Thrust,0,Physical,Electric,EOT,Melee, Scatter, 1 Target,,4,1d6+1,"Arm Thrust can hit up to 5 times. Once the user misses, they cannot attempt to make another Arm Thrust attack on that turn.",,,,,,,,"Melee, 1 Target, Scatter",Tough - 2d4 - Reliable,
Double Kick,0,Physical,Fighting,EOT,Melee, Scatter, 1 Target,,3,1d10+4,"Double Kick can hit up to 2 times. If Double Kick misses its first target, you may still use it a second time.",,,,,,,,"Melee, 1 Target, Scatter",Cool - 2d4 - Reliable,
Triple Kick,0,Physical,Fighting,OncePerBattle,Melee, Scatter, 1 Target,,3,1d6+1,"Triple Kick can hit up to 3 times. If Triple Kick misses its first or second target, you may still use it a second and third time. For the third use of Triple Kick, if you successfully hit the same target for the first two uses of Triple Kick use 3d10+12 for Triple Kick's Damage Dice Roll.",,,,,,,,"Melee, 1 Target, Scatter",Cool - 3d4 - Reliable,
Bullet Seed,0,Physical,Grass,At-Will,Ranged (8), Scatter, 1 Target,,4,1d10+4,"Bullet Seed can hit up to 5 times. Once the user misses, they cannot attempt to make another Bullet Seed attack on that turn.",,,,,,,,"Ranged (8), 1 Target, Scatter",Cool - 2d4 - Reliable,
Bone Rush,0,Physical,Ground,EOT,Melee, Scatter, 1 Target,,4,1d10+4,"Bone Rush can hit up to 5 times. Once the user misses, they cannot attempt to make another Bone Rush attack on that turn.",,,,,,,,"Melee, 1 Target, Scatter",Tough - 2d4 - Reliable,
Bonemerang,0,Physical,Ground,EOT,Ranged (8), Scatter, 1 Target,,3,2d12+8,"Bonemerang can hit up to 2 times. If Bonemerang misses its first target, you may still use it a second time.",,,,,,,,"Ranged (8), 1 Target, Scatter",Tough - 2d4 - Reliable,
Icicle Spear,0,Physical,Ice,EOT,Ranged (6), Scatter, 1 Target,,4,1d10+4,"Icicle Spear can hit up to 5 times. Once the user misses, they cannot attempt to make another Icicle Spear attack on that turn.",,,,,,,,"Ranged (6), 1 Target, Scatter",Beauty - 2d4 - Reliable,
Barrage,0,Physical,Normal,EOT,Ranged (8), Scatter, 1 Target,,4,1d6+3,"Barrage can hit up to 5 times. Once the user misses, they cannot attempt to make another Barrage attack on that turn.",,,,,,,,"Ranged (8), 1 Target, Scatter",Tough - 2d4 - Reliable,
Comet Punch,0,Physical,Normal,EOT,Melee, Scatter, 1 Target,,4,1d6+3,"Comet Punch can hit up to 5 times. Once the user misses, they cannot attempt to make another Comet Punch attack on that turn.",,,,,,,,"Melee, 1 Target, Scatter",Tough - 2d4 - Reliable,
Double Hit,0,Physical,Normal,EOT,Melee, Scatter, 1 Target,,3,1d12+6,"Double Hit can hit up to 2 times. If Double Hit misses its first target, you may still use it a second time.",,,,,,,,"Melee, 1 Target, Scatter",Smart - 2d4 - Reliable,
Doubleslap,0,Physical,Normal,EOT,Melee, Scatter, 1 Target,,4,1d6+1,"Doubleslap can hit up to 5 times. Once the user misses, they cannot attempt to make another Doubleslap attack on that turn.",,,,,,,,"Melee, 1 Target, Scatter",Tough - 2d4 - Reliable,
Fury Attack,0,Physical,Normal,EOT,Melee, Scatter, 1 Target,,4,1d6+3,"Fury Attack can hit up to 5 times. Once the user misses, they cannot attempt to make another Fury Attack attack on that turn.",,,,,,,,"Melee, 1 Target, Scatter",Cool - 2d4 - Reliable,
Fury Swipes,0,Physical,Normal,EOT,Melee, Scatter, 1 Target,,4,1d6+3,"Fury Swipes can hit up to 5 times. Once the user misses, they cannot attempt to make another Fury Swipes attack on that turn.",,,,,,,,"Melee, 1 Target, Scatter",Tough - 2d4 - Reliable,
Spike Cannon,0,Physical,Normal,EOT,Ranged (6), Scatter, 1 Target,,4,1d6+3,"Spike Cannon can hit up to 5 times. Once the user misses, they cannot attempt to make another Spike Cannon attack on that turn.",,,,,,,,"Ranged (6), 1 Target, Scatter",Cool - 2d4 - Reliable,
Tail Slap,0,Physical,Normal,EOT,Melee, Scatter, 1 Target,,4,1d10+4,"Tail Slap can hit up to 5 times. Once the user misses, they cannot attempt to make another Tail Slap attack on that turn.",,,,,,,,"Melee, 1 Target, Scatter",Cute - 2d4 - Reliable,
Rock Blast,0,Physical,Rock,EOT,Ranged (6), Scatter, 1 Target,,5,1d10+4,"Rock Blast can hit up to 5 times. Once the user misses, they cannot attempt to make another Rock Blast attack on that turn. *Grants: Materializer",,,,,,,,"Ranged (6), 1 Target, Scatter",Tough - 2d4 - Reliable,
Gear Grind,0,Physical,Steel,EOT,Melee, Scatter, 1 Target,,3,2d8+6,"Gear Grind can hit up to 2 times. If Gear Grind misses its first target, you may still use it a second time.",,,,,,,,"Melee, 1 Target, Scatter",Cool - 2d4 - Reliable,
Submission,0,Physical,Fighting,At-Will,Melee, Recoil 1/4, 1 Target,,6,3d10+12,"After Submission deals damage, Recoil.",,,,,,,,"Melee, 1 Target, Recoil 1/4",Cool - 3d4 - No Effect,
Megahorn,0,Physical,Bug,OncePerBattle,Melee, Push, 1 Target,,5,5d12+18,"The target is Pushed 3-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6.",,,,,,,,"Melee, 1 Target, Push",Cool - 2d4 - Round Ender,
Dragon Tail,0,Physical,Dragon,OncePerBattle,Melee, Push, 1 Target,,3,2d10+8,"The target is Pushed 40-meters expelling them from the encounter if the terrain allows. They may still rejoin the encounter if they want to. During a trainer battle, the target's owner must recall the Pushed target and replace them.",,,,,,,,"Melee, 1 Target, Push",Smart - None - Big Show,
Circle Throw,0,Physical,Fighting,Center,Melee, Push, 1 Target,,4,2d10+8,"The target is Pushed 40-meters expelling them from the encounter if the terrain allows. They may still rejoin the encounter if they want to. During a trainer battle, the target's owner must recall the Pushed target and replace them.",,,,,,,,"Melee, 1 Target, Push",Tough - None - Big Show,
Focus Punch,0,Physical,Fighting,EOT,Melee, Push, 1 Target,,2,7d10+28,"Once you declare the use of Focus Punch the user's turn ends. If you are not hit by a damaging Move until your next turn you may use Focus Punch's damage and effects. The target is Pushed 10-meters and it takes an additional 2d12 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d12. If the user is hit by a damaging Move before it's next turn, it may not use a Move on that turn.",,,,,,,,"Melee, 1 Target, Push",Tough - 1d4 - Special Attention,
Sky Uppercut,0,Physical,Fighting,EOT,Melee, Push, 1 Target,,3,3d12+14,"The target is Pushed 2-meters. If the target is airborne, Sky Uppercut deals an additional 2d10. If the target is airborne as a result of Fly or Sky Drop, Sky Uppercut cannot miss as long as you are in a space adjacent to the airborne target.",,,,,,,,"Melee, 1 Target, Push",Cool - 2d4 - Round Starter,
Vital Throw,0,Physical,Fighting,OncePerBattle,Melee, Push, 1 Target,,0,3d8+10,"Vital Throw may only be used if the user was targeted by a Move on a foe's last turn while the foe was adjacent. Vital Throw can only target that foe. Vital Throw cannot miss. The target is Pushed 5-meters and it takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6.",,,,,,,,"Melee, 1 Target, Push",Cool - 2d4 - Slow Set,
Blaze Kick,0,Physical,Fire,OncePerBattle,Melee, Push, 1 Target,,4,3d12+14,Blaze Kick Pushes the target 2-meters. Blaze Kick Burns the target on 19-20 during Accuracy Check. Blaze Kick is a Critical Hit on 16-20 during Accuracy Check.,,,,,,,,"Melee, 1 Target, Push",Beauty - 2d4 - Round Starter,
Dizzy Punch,0,Physical,Normal,OncePerBattle,Melee, Push, 1 Target,,2,3d8+10,The target is Pushed 2-meters. Dizzy Punch Confuses the target on 17-20 during Accuracy Check.,,,,,,,,"Melee, 1 Target, Push",Cool - None - Inversed Appeal,
Strength,0,Physical,Normal,EOT,Melee, Push, 1 Target,,4,3d10+12,The target is Pushed 8-meters. *Grants: +1 Power,,,,,,,,"Melee, 1 Target, Push",Tough - 3d4 - No Effect,
Whirlwind,0,Effect,Normal,Center,Ranged (6), Push, 1 Target,,2,-,"The target is Pushed 40-meters expelling them from the encounter if the terrain allows. They may still rejoin the encounter if they want to. During a trainer battle, the target's owner must recall the Pushed target and replace them.",,,,,,,,"Ranged (6), 1 Target, Push",Smart - None - Big Show,
Psychic,0,Special,Psychic,OncePerBattle,Ranged (10), Push, 1 Target,,2,3d12+14,The target is Pushed 5-meters in any direction. Psychic lowers the target's Special Defense 1 Combat Stage on 17-20 during Accuracy Check. *Grants: Telekinetic,,,,,,,,"Ranged (10), 1 Target, Push",Smart - 2d4 - Round Starter,
Crabhammer,0,Physical,Water,OncePerBattle,Melee, Push, 1 Target,,3,3d12+14,Crabhammer Pushes the target 2-meters. Crabhammer is a Critical Hit on 18-20 during Accuracy Check.,,,,,,,,"Melee, 1 Target, Push",Tough - 2d4 - Round Starter,
Waterfall,0,Physical,Water,EOT,Melee, Push, 1 Target,,2,3d10+12,"The target is Pushed 2-meters. If the target is airborne, Waterfall deals an additional 1d12 during Damage Dice Roll. Waterfall Flinches the target on 17-20 during Accuracy Check.",,,,17,,Flinches,,"Melee, 1 Target, Push",Tough - 3d4 - No Effect,
Fire Pledge,0,Special,Fire,EOT,Ranged (6), Pledge, 1 Target,,2,2d8+6,"If used on the same turn as Water Pledge, all secondary effects of Moves are activated at a -3 during the Accuracy Check for 1d4+1 turns. If used on the same turn as Grass Pledge, all foes within 20 meters of the user lose 1/8th of their max HP at the end of each round of combat for 1d4+1 turns.",,,,,,,,"Ranged (6), 1 Target, Pledge",Beauty - None - Torrential Appeal,
Grass Pledge,0,Special,Grass,EOT,Ranged (6), Pledge, 1 Target,,2,2d8+6,"If used on the same turn as Water Pledge, all foes are treated as if at -2 Speed Combat Stages for 1d4+1 turns, if any foe has additional Speed Combat Stages, apply them as usual. If used on the same turn as Fire Pledge, all foes within 20 meters of the user lose 1/8th of their max HP at the end of each round of combat for 1d4+1 turns.",,,,,,,,"Ranged (6), 1 Target, Pledge",Beauty - None - Torrential Appeal,
Water Pledge,0,Special,Water,EOT,Ranged (6), Pledge, 1 Target,,2,2d8+6,"If used on the same turn as Fire Pledge, all secondary effects of Moves are activated at a -3 during the Accuracy Check for 1d4+1 turns. If used on the same turn as Grass Pledge, all foes are treated as if at -2 Speed Combat Stages for 1d4+1 turns, if any foe has additional Speed Combat Stages, apply them as usual.",,,,,,,,"Ranged (6), 1 Target, Pledge",Beauty - None - Torrential Appeal,
Steamroller,0,Physical,Bug,EOT,Melee, Pass, 1 Target,,2,3d8+10,"Steamroller Flinches the target on 15-20 during Accuracy Check. If the target is Small, Steamroller deals an additional 1d10.",,,,15,,Flinches,,"Melee, 1 Target, Pass",Tough - 3d4 - No Effect,
Night Slash,0,Physical,Dark,EOT,Melee, Pass, 1 Target,,2,3d8+10,Night Slash is a Critical Hit on 18-20 during Accuracy Check.,,,,,,,,"Melee, 1 Target, Pass",Cool - 3d4 - No Effect,
Hi Jump Kick,0,Physical,Fighting,OncePerBattle,Melee, Pass, 1 Target,,3,5d12+22,"If Hi Jump Kick misses, roll 4d10 and subtract the result from the user's HP. Do not apply weakness, resistance or stats.",,,,,,,,"Melee, 1 Target, Pass",Cool - 3d4 - No Effect,
Jump Kick,0,Physical,Fighting,EOT,Melee, Pass, 1 Target,,3,2d10+8,"If Jump Kick misses, roll 2d10 and subtract the result from the user's HP. Do not apply weakness, resistance or stats.",,,,,,,,"Melee, 1 Target, Pass",Cool - 3d4 - No Effect,
Sacred Sword,0,Physical,Fighting,OncePerBattle,Melee, Pass, 1 Target,,2,3d12+14,Sacred Sword's Accuracy Check may not be modified.,,,,,,,,"Melee, 1 Target, Pass",Cool - 3d4 - No Effect,
Aerial Ace,0,Physical,Flying,EOT,Melee, Pass, 1 Target,,0,2d10+8,Aerial Ace cannot miss.,,,,,,,,"Melee, 1 Target, Pass",Cool - 2d4 - Round Starter,
Sky Attack,0,Physical,Flying,OncePerBattle,Melee, Pass, 1 Target,,4,6d12+22,"Once you declare the use of Sky Attack, the user is moved 10-meters into the air and then the user's turn ends. On your next turn, shift while in the air, lower your height back to the target and then use Sky Attack's damage. Sky Attack Flinches the target on 17-20 during Accuracy Check. For Pokemon users, the second turn is their Trainer's Command Action, unless the Trainer is unconscious, in which case the Pokemon acts on its own, finishing Sky Attack.",,,,17,,Flinches,,"Melee, 1 Target, Pass",Cool - 1d4 - Special Attention,
Wing Attack,0,Physical,Flying,At-Will,Melee, Pass, 1 Target,,2,2d10+8,-,,,,,,,,"Melee, 1 Target, Pass",Cool - 3d4 - No Effect,
Shadow Claw,0,Physical,Ghost,EOT,Melee, Pass, 1 Target,,2,3d8+10,Shadow Claw is a Critical Hit on 18-20 during Accuracy Check.,,,,,,,,"Melee, 1 Target, Pass",Cute - 2d4 - Round Starter,
Shadow Sneak,0,Physical,Ghost,At-Will,Melee, Pass, 1 Target,,2,1d12+6,"If a foe wants to declare a Move, you may instead use Shadow Sneak on their turn before they can use their Move.",,,,,,,,"Melee, 1 Target, Pass, Interrupt",Smart - 2d4 - Quick Set,
Leaf Blade,0,Physical,Grass,OncePerBattle,Melee, Pass, 1 Target,,2,3d12+14,Leaf Blade is a Critical Hit on 18-20 during Accuracy Check.,,,,,,,,"Melee, 1 Target, Pass",Cool - 2d4 - Round Starter,
Ice Ball,0,Physical,Ice,EOT,Melee, Pass, 1 Target,,4,1d10+4,"The user must use Ice Ball until it misses, or fails to be able to shift enough to hit a target for their next 4 turns. On the second turn, Ice Ball uses 2d10+8 for its Damage Dice Roll. On the third turn, Ice Ball uses 2d10+12. On the fourth turn, Ice Ball uses 3d10+16. On the fifth and final turn, Ice Ball uses 4d10+20.",,,,,,,,"Melee, 1 Target, Pass",Beauty - 2d4 - Reliable,
False Swipe,0,Physical,Normal,At-Will,Melee, Pass, 1 Target,,2,1d12+6,"If False Swipe would lower the target to 0 HP or less, the target is instead set to 1 HP unless the target was already below 0 HP.",,,,,,,,"Melee, 1 Target, Pass",Cool - None - Inversed Appeal,
Scratch,0,Physical,Normal,At-Will,Melee, Pass, 1 Target,,2,1d12+6,-,,,,,,,,"Melee, 1 Target, Pass",Tough - 3d4 - No Effect,
Slash,0,Physical,Normal,EOT,Melee, Pass, 1 Target,,2,3d8+10,Slash is a Critical Hit on 18-20 during Accuracy Check.,,,,,,,,"Melee, 1 Target, Pass",Cool - 3d4 - No Effect,
Cross Poison,0,Physical,Poison,EOT,Melee, Pass, 1 Target,,2,3d8+10,Cross Poison is a Critical Hit on 18-20 during Accuracy Check. Cross Poison Poisons the target on a Critical Hit during Accuracy Check.,,,,,,,,"Melee, 1 Target, Pass",Cool - 3d4 - No Effect,
Poison Tail,0,Physical,Poison,At-Will,Melee, Pass, 1 Target,,2,2d8+6,Poison Tail is a Critical Hit on 18-20 during Accuracy Check. Poison Tail Poisons the target on 19-20 during Accuracy Check.,,,,,,,,"Melee, 1 Target, Pass",Smart - 2d4 - Incentives,
Rock Wrecker,0,Physical,Rock,Center,Melee, Pass, 1 Target,,4,7d10+28,"On Miss, Rock Wrecker deals the user's Attack instead to all possible targets. *Grants: Materializer",,,,,,,,"Melee, 1 Target, Pass, Exhaust",Tough - 2d4 - Seen Nothing Yet,
Rollout,0,Physical,Rock,EOT,Melee, Pass, 1 Target,,4,1d10+4,"The user must use Rollout until it misses, or fails to be able to shift enough to hit a target for their next 4 turns. On the second turn, Rollout uses 2d10+8 for its Damage Dice Roll. On the third turn, Rollout uses 2d10+12. On the fourth turn, Rollout uses 3d10+16. On the fifth and final turn, Rollout uses 4d10+20.",,,,,,,,"Melee, 1 Target, Pass",Tough - 2d4 - Reliable,
Iron Tail,0,Physical,Steel,OncePerBattle,Melee, Pass, 1 Target,,6,4d12+16,Iron Tail lowers the target's Defense 1 Combat Stage on 19-20 during Accuracy Check.,,,,,,,,"Melee, 1 Target, Pass",Cool - 2d4 - Round Ender,
Metal Claw,0,Physical,Steel,At-Will,Melee, Pass, 1 Target,,3,2d8+6,Raise the user''s Attack 1 Combat Stage on 18-20 during Accuracy Check.,,,,,,,,"Melee, 1 Target, Pass, Spirit Surge",Cool - 2d4 - Incentives,
Steel Wing,0,Physical,Steel,At-Will,Melee, Pass, 1 Target,,3,3d8+10,Raise the user''s Defense 1 Combat Stage on 15-20 during Accuracy Check,,,,,,,,"Melee, 1 Target, Pass, Spirit Surge",Cool - 3d4 - No Effect,
Aqua Tail,0,Physical,Water,OncePerBattle,Melee, Pass, 1 Target,,4,3d12+14,-,,,,,,,,"Melee, 1 Target, Pass",Cute - 3d4 - No Effect,
Razor Shell,0,Physical,Water,EOT,Melee, Pass, 1 Target,,3,3d10+12,Razor Shell lowers the Target's Defense 1 Combat Stage on 11-20 during Accuracy Check.,,,,,,,,"Melee, 1 Target, Pass",Cool - 3d4 - No Effect,
Pursuit,0,Physical,Dark,EOT,Melee, Interrupt, 1 Target,,2,1d12+6,"If the foe is fleeing or being switched out, Pursuit may be used as an Interrupt. While being used as an Interrupt, Pursuit may shift the user adjacent to the fleeing foe, up to 25 meters, ignoring Speed Capabilities, and attack them before they escape or are switched out dealing 3d10+12 instead for Damage Dice Roll.",,,,,,,,"Melee, 1 Target, Interrupt",Smart - 1d4 - Good Show!,
Sucker Punch,0,Physical,Dark,OncePerBattle,Melee, Interrupt, 1 Target,,2,3d10+12,"If something is targeting the user with a damaging Attack - Melee Move, you may use Sucker Punch on the offender as an Interrupt.",,,,,,,,"Melee, 1 Target, Interrupt",Smart - 2d4 - Quick Set,
Mach Punch,0,Physical,Fighting,At-Will,Melee, Interrupt, 1 Target,,2,1d12+6,"If a foe wants to declare a Move, you may instead use Mach Punch on their turn before they can use their Move.",,,,,,,,"Melee, 1 Target, Interrupt",Cool - 2d4 - Quick Set,
Vacuum Wave,0,Special,Fighting,At-Will,Ranged (6), Interrupt, 1 Target,,2,1d12+6,"If a foe wants to declare a Move, you may instead use Vacuum Wave on their turn before they can use their Move. *Grants: Aura",,,,,,,,"Ranged (6), 1 Target, Interrupt",Smart - 2d4 - Quick Set,
Ice Shard,0,Physical,Ice,At-Will,Ranged (10), Interrupt, 1 Target,,2,1d12+6,"If a foe wants to declare a Move, you may instead use Ice Shard on their turn before they can use their Move.",,,,,,,,"Ranged (10), 1 Target, Interrupt",Beauty - 2d4 - Quick Set,
Fake Out,0,Physical,Normal,OncePerBattle,Melee, Interrupt, 1 Target,,2,1d12+6,"You may only use Fake Out at the beginning of an encounter, as an Interrupt. Fake Out Flinches the target.",,,,0,,Flinches,,"Melee, 1 Target, Interrupt",Cute - 2d4 - Round Starter,
Feint,0,Physical,Normal,Center,Melee, Interrupt, 1 Target,,2,1d10+4,"Feint may only Interrupt Intercepts. If used as an Interrupt, the target flips a coin, if they win the flip, they may retain the use of their Intercept for the encounter as if they did not use it during the encounter. If the target loses the flip, they use up their Intercept. Feint ignores all Intercept effects, dealing damage as if the Intercept was not used.",,,,,,,,"Melee, 1 Target, Interrupt",Beauty - None - Inverse Appeal,
Me First,0,Effect,Normal,Center,Self, Interrupt, 1 Target,,0,-,"If the target declares a Move that has a Damage Dice Roll and Me First's user has a higher Speed stat then the target, you may Interrupt with Me First. Me First will use the same Move the target was about to use on that target.",,,,,,,,"Self, 1 Target, Interrupt",Cute - 2d4 - Quick Set,
Quick Attack,0,Physical,Normal,At-Will,Melee, Interrupt, 1 Target,,2,1d12+6,"If a foe wants to declare a Move, you may instead use Quick Attack on their turn before they can use their Move.",,,,,,,,"Melee, 1 Target, Interrupt",Cool - 2d4 - Quick Set,
Bullet Punch,0,Physical,Steel,At-Will,Melee, Interrupt, 1 Target,,2,1d12+6,"AIf a foe wants to declare a Move, you may instead use Bullet Punch on their turn before they can use their Move.",,,,,,,,"Melee, 1 Target, Interrupt",Smart - 2d4 - Quick Set,
Aqua Jet,0,Physical,Water,At-Will,Melee, Interrupt, 1 Target,,2,1d12+6,"If a foe wants to declare a Move, you may instead use Aqua Jet on their turn before they can use their Move.",,,,,,,,"Melee, 1 Target, Interrupt",Beauty - 2d4 - Quick Set,
Quash,0,Effect,Dark,OncePerBattle,Ranged (10), Intercept, 1 Target,,2,-,"Quash will not affect a Legal Target if it has already acted that round. Quash causes the target to act as if their Speed is 0, meaning their action is last for that turn.",,,,,,,,"Ranged (10), 1 Target, Intercept",Smart - 2d4 - Quick Set,
