WasEditedForGame,Key:AttackName,Category,ElementType,Frequency,Range,AttackCategory,NumOfTargets,NumOfTurns,AC,Damage,AttackEffects,ExtraAffectType,ExtraAffectResult,LengthOfExtraAffect,AccuracyCheckBonus,AccuracyBonusType,AccuracyBonusResult,LengthOfBonusAffect,FullRangeDescription,ContestStats,ContributedBy
0,Safeguard,Effect,Normal,At-Will,Ranged (2), Wall, No Target,,0,-,"Place 10-meters of Wall that can be passed through and attacked through. If the effect of a Move that targets through any Walls of Safeguard cause a Status Affliction, they cannot cause a Status Affliction. The Walls sustain for 5 rounds.",,,,,,,,"Ranged (2), No Target, Wall",Beauty - 2d4 - Hold That Thought,
0,Smokescreen,Effect,Normal,EOT,Ranged (3), Wall, No Target,,0,-,"Place 5-meters of Wall that can be passed through and attacked through. Smokescreen’s Walls must be placed within 3-meters of the user. If anyone’s Move tries to target through a Smokescreen wall, they must roll +3 during Accuracy Check to hit. The walls remain for 10 rounds. Brick Break cannot break Smokescreen’s Walls.",,,,,,,,"Ranged (3), No Target, Wall",Smart - 2d4 - Unsettling,
0,Kinesis,Effect,Psychic,EOT,Ranged (3), Wall, No Target,,0,-,"Place 5-meters of Wall that can be passed through and attacked through. If anyone’s Move tries to target through a Kinesis Wall, they must roll +3 during Accuracy Check to hit. The walls remain for 10 rounds. Brick Break cannot break Kinesis’ Walls.",,,,,,,,"Ranged (3), No Target, Wall",Smart - None - Get Ready!,
0,Light Screen,Effect,Psychic,EOT,Melee, Wall, No Target,,0,-,"The user may shift while placing Light Screen Walls if their Speed allows for the extra movement. Place 5-meters of Wall that cannot be passed through but may be attacked through. If a Move tries to attack through Light Screen Walls, treat the target as if their Special Defense is raised 2 Combat Stages. This bonus cannot be awarded more then once. The walls sustain for 1d4+1 turns.",,,,,,,,"Melee, No Target, Wall",Beauty - 2d4 - Hold That Thought,
0,Reflect,Effect,Psychic,EOT,Melee, Wall, No Target,,0,-,"The user may shift while placing Reflect Walls if their Speed allows for the extra movement. Place 5-meters of Wall that cannot be passed through but may be attacked through. If a Move tries to attack through Reflect Walls, treat the target as if their Defense is raised 2 Combat Stages. This bonus cannot be awarded more then once. The walls remain for 1d4+1 turns.",,,,,,,,"Melee, No Target, Wall",Smart - 2d4 - Excitement,
0,Spider Web,Effect,Bug,Center,Ranged (5), Trap, 1 Target,,0,-,Spider Web cannot miss. *Grants: Threaded,,,,,,,,"Ranged (5), 1 Target, Trap",Smart - 2d4 - Hold That Thought,
0,Fire Spin,Special,Fire,EOT,Ranged (10), Trap, 1 Target,,4,1d12+6,"Fire Spin Traps the target for 1d4+1 turns. At the beginning of the target’s turn, if the target is Trapped, roll 1d12 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Fire Spin may not trap more then one target at a time. *Grants: Firestarter",,,,,,,,"Ranged (10), 1 Target, Trap",Beauty - None - Torrential Appeal,
0,Magma Storm,Special,Fire,Center,Ranged (8), Trap, 1 Target,,7,5d12+18,"Magma Storm Traps the target for 1d4+1 turns. At the beginning of the target’s turn, if the target is Trapped, roll 2d20 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Magma Storm may not trap more then one target at a time.",,,,,,,,"Ranged (8), 1 Target, Trap",Tough - 2d4 - Reliable,
0,Sand Tomb,Physical,Ground,EOT,Ranged (6), Trap, 1 Target,,4,1d12+6,"Sand Tomb Traps the target for 1d4+1 turns. At the beginning of the target’s turn, if the target is Trapped, roll 1d12 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Sand Tomb may not trap more then one target at a time.",,,,,,,,"Ranged (6), 1 Target, Trap",Smart - None - Torrential Appeal,
0,Bind,Physical,Normal,EOT,Melee, Trap, 1 Target,,4,1d6+3,"Bind Traps the target and the user for 1d4+1 turns. At the beginning of the target’s turn, if the target is Trapped, roll 1d12 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Bind may not trap more then one target at a time unless the User is Huge or Gigantic.",,,,,,,,"Melee, 1 Target, Trap",Tough - None - Torrential Appeal,
0,Block,Effect,Normal,Battle,Melee, Trap, 1 Target,,2,-,Both the user and the target are Trapped.,,,,,,,,"Melee, 1 Target, Trap",Cute - 2d4 - Hold That Thought,
0,Wrap,Physical,Normal,EOT,Melee, Trap, 1 Target,,4,1d6+3,"Wrap Traps the target and the user for 1d4+1 turns. At the beginning of the target’s turn, if the target is Trapped, roll 1d12 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Wrap may not trap more then one target at a time unless the user is Huge or Gigantic.",,,,,,,,"Melee, 1 Target, Trap",Tough - None - Torrential Appeal,
0,Clamp,Physical,Water,EOT,Melee, Trap, 1 Target,,4,1d12+6,"Clamp Traps the target and the user for 1d4+1 turns. At the beginning of the target’s turn, if the target is Trapped, roll 1d12 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Clamp may not trap more then one target at a time unless the user is Huge or Gigantic.",,,,,,,,"Melee, 1 Target, Trap",Tough - 3d4 - No Effect,
0,Whirlpool,Special,Water,EOT,Ranged(5), Trap, 1 Target,,4,1d12+6,"Whirlpool Traps the target for 1d4+1 turns. At the beginning of the target’s turn, if the target is Trapped, roll 1d12 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Whirlpool may not trap more then one target at a time.",,,,,,,,"Ranged(5), 1 Target, Trap",Beauty - None - Torrential Appeal,
0,Fiery Dance,Special,Fire,Battle,Ranged (4), Spirit Surge, 1 Target,,2,3d10+12,Fiery Dance raises the user’s Special Attack by 1 Combat Stage on 11-20 on Accuracy Check.,,,,,,,,"Ranged (4), 1 Target, Spirit Surge",Cool - 2d4 - Round Ender,
0,Rage,Physical,Normal,At-Will,Melee, Spirit Surge, 1 Target,,2,1d6+3,"The user’s Attack is raised 1 Combat Stage as long as they used Rage on their previous turn. If the user is damaged by an attack before it’s next turn, its Attack is raised 1 Combat Stage.",,,,,,,,"Melee, 1 Target, Spirit Surge",Cool - None - Get Ready!,
0,Pin Missile,Physical,Bug,EOT,Ranged (10), Scatter, 1 Target,,4,1d6+1,"Pin Missile can hit up to 5 times. Once the user misses, they cannot attempt to make another Pin Missile attack on that turn.",,,,,,,,"Ranged (10), 1 Target, Scatter",Cool - 2d4 - Reliable,
0,Twineedle,Physical,Bug,EOT,Melee, Scatter, 1 Target,,3,1d8+3,"Twineedle can hit up to 2 times. If Twineedle misses its first target, you may still use it a second time. If you rolled an 18-20 on either Accuracy Check, the target is Poisoned.",,,,,,,,"Melee, 1 Target, Scatter",Cool - 2d4 - Reliable,
0,Beat Up,Physical,Dark,Battle,Melee, Scatter, 1 Target,,2,1d12+X,"Beat Up can hit up to X time. X is the amount of pokemon on the user’s roster including the user, up to a maximum of 6. Once the user misses, they cannot attempt to make another Beat Up attack on that turn. You may choose any Pokemon’s Attack stat, from your roster, to calculate damage instead of using the user’s Attack stat.",,,,,,,,"Melee, 1 Target, Scatter",Smart - 2d4 - Reliable,
0,Dual Chop,Physical,Dragon,EOT,Melee, Scatter, 1 Target,,3,2d8+6,"Dual Chop can hit up to 2 times. If Dual Chop misses its first target, you may still use it a second time.",,,,,,,,"Melee, 1 Target, Scatter",Tough - 2d4 - Reliable,
0,Arm Thrust,Physical,Electric,EOT,Melee, Scatter, 1 Target,,4,1d6+1,"Arm Thrust can hit up to 5 times. Once the user misses, they cannot attempt to make another Arm Thrust attack on that turn.",,,,,,,,"Melee, 1 Target, Scatter",Tough - 2d4 - Reliable,
0,Double Kick,Physical,Fighting,EOT,Melee, Scatter, 1 Target,,3,1d10+4,"Double Kick can hit up to 2 times. If Double Kick misses its first target, you may still use it a second time.",,,,,,,,"Melee, 1 Target, Scatter",Cool - 2d4 - Reliable,
0,Triple Kick,Physical,Fighting,Battle,Melee, Scatter, 1 Target,,3,1d6+1,"Triple Kick can hit up to 3 times. If Triple Kick misses its first or second target, you may still use it a second and third time. For the third use of Triple Kick, if you successfully hit the same target for the first two uses of Triple Kick use 3d10+12 for Triple Kick’s Damage Dice Roll.",,,,,,,,"Melee, 1 Target, Scatter",Cool - 3d4 - Reliable,
0,Bullet Seed,Physical,Grass,At-Will,Ranged (8), Scatter, 1 Target,,4,1d10+4,"Bullet Seed can hit up to 5 times. Once the user misses, they cannot attempt to make another Bullet Seed attack on that turn.",,,,,,,,"Ranged (8), 1 Target, Scatter",Cool - 2d4 - Reliable,
0,Bone Rush,Physical,Ground,EOT,Melee, Scatter, 1 Target,,4,1d10+4,"Bone Rush can hit up to 5 times. Once the user misses, they cannot attempt to make another Bone Rush attack on that turn.",,,,,,,,"Melee, 1 Target, Scatter",Tough - 2d4 - Reliable,
0,Bonemerang,Physical,Ground,EOT,Ranged (8), Scatter, 1 Target,,3,2d12+8,"Bonemerang can hit up to 2 times. If Bonemerang misses its first target, you may still use it a second time.",,,,,,,,"Ranged (8), 1 Target, Scatter",Tough - 2d4 - Reliable,
0,Icicle Spear,Physical,Ice,EOT,Ranged (6), Scatter, 1 Target,,4,1d10+4,"Icicle Spear can hit up to 5 times. Once the user misses, they cannot attempt to make another Icicle Spear attack on that turn.",,,,,,,,"Ranged (6), 1 Target, Scatter",Beauty - 2d4 - Reliable,
0,Barrage,Physical,Normal,EOT,Ranged (8), Scatter, 1 Target,,4,1d6+3,"Barrage can hit up to 5 times. Once the user misses, they cannot attempt to make another Barrage attack on that turn.",,,,,,,,"Ranged (8), 1 Target, Scatter",Tough - 2d4 - Reliable,
0,Comet Punch,Physical,Normal,EOT,Melee, Scatter, 1 Target,,4,1d6+3,"Comet Punch can hit up to 5 times. Once the user misses, they cannot attempt to make another Comet Punch attack on that turn.",,,,,,,,"Melee, 1 Target, Scatter",Tough - 2d4 - Reliable,
0,Double Hit,Physical,Normal,EOT,Melee, Scatter, 1 Target,,3,1d12+6,"Double Hit can hit up to 2 times. If Double Hit misses its first target, you may still use it a second time.",,,,,,,,"Melee, 1 Target, Scatter",Smart - 2d4 - Reliable,
0,Doubleslap,Physical,Normal,EOT,Melee, Scatter, 1 Target,,4,1d6+1,"Doubleslap can hit up to 5 times. Once the user misses, they cannot attempt to make another Doubleslap attack on that turn.",,,,,,,,"Melee, 1 Target, Scatter",Tough - 2d4 - Reliable,
0,Fury Attack,Physical,Normal,EOT,Melee, Scatter, 1 Target,,4,1d6+3,"Fury Attack can hit up to 5 times. Once the user misses, they cannot attempt to make another Fury Attack attack on that turn.",,,,,,,,"Melee, 1 Target, Scatter",Cool - 2d4 - Reliable,
0,Fury Swipes,Physical,Normal,EOT,Melee, Scatter, 1 Target,,4,1d6+3,"Fury Swipes can hit up to 5 times. Once the user misses, they cannot attempt to make another Fury Swipes attack on that turn.",,,,,,,,"Melee, 1 Target, Scatter",Tough - 2d4 - Reliable,
0,Spike Cannon,Physical,Normal,EOT,Ranged (6), Scatter, 1 Target,,4,1d6+3,"Spike Cannon can hit up to 5 times. Once the user misses, they cannot attempt to make another Spike Cannon attack on that turn.",,,,,,,,"Ranged (6), 1 Target, Scatter",Cool - 2d4 - Reliable,
0,Tail Slap,Physical,Normal,EOT,Melee, Scatter, 1 Target,,4,1d10+4,"Tail Slap can hit up to 5 times. Once the user misses, they cannot attempt to make another Tail Slap attack on that turn.",,,,,,,,"Melee, 1 Target, Scatter",Cute - 2d4 - Reliable,
0,Rock Blast,Physical,Rock,EOT,Ranged (6), Scatter, 1 Target,,5,1d10+4,"Rock Blast can hit up to 5 times. Once the user misses, they cannot attempt to make another Rock Blast attack on that turn. *Grants: Materializer",,,,,,,,"Ranged (6), 1 Target, Scatter",Tough - 2d4 - Reliable,
0,Gear Grind,Physical,Steel,EOT,Melee, Scatter, 1 Target,,3,2d8+6,"Gear Grind can hit up to 2 times. If Gear Grind misses its first target, you may still use it a second time.",,,,,,,,"Melee, 1 Target, Scatter",Cool - 2d4 - Reliable,
0,Submission,Physical,Fighting,At-Will,Melee, Recoil 1/4, 1 Target,,6,3d10+12,"After Submission deals damage, Recoil.",,,,,,,,"Melee, 1 Target, Recoil 1/4",Cool - 3d4 - No Effect,
0,Megahorn,Physical,Bug,Battle,Melee, Push, 1 Target,,5,5d12+18,"The target is Pushed 3-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6.",,,,,,,,"Melee, 1 Target, Push",Cool - 2d4 - Round Ender,
0,Dragon Tail,Physical,Dragon,Battle,Melee, Push, 1 Target,,3,2d10+8,"The target is Pushed 40-meters expelling them from the encounter if the terrain allows. They may still rejoin the encounter if they want to. During a trainer battle, the target’s owner must recall the Pushed target and replace them.",,,,,,,,"Melee, 1 Target, Push",Smart - None - Big Show,
0,Circle Throw,Physical,Fighting,Center,Melee, Push, 1 Target,,4,2d10+8,"The target is Pushed 40-meters expelling them from the encounter if the terrain allows. They may still rejoin the encounter if they want to. During a trainer battle, the target’s owner must recall the Pushed target and replace them.",,,,,,,,"Melee, 1 Target, Push",Tough - None - Big Show,
0,Focus Punch,Physical,Fighting,EOT,Melee, Push, 1 Target,,2,7d10+28,"Once you declare the use of Focus Punch the user’s turn ends. If you are not hit by a damaging Move until your next turn you may use Focus Punch’s damage and effects. The target is Pushed 10-meters and it takes an additional 2d12 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d12. If the user is hit by a damaging Move before it’s next turn, it may not use a Move on that turn.",,,,,,,,"Melee, 1 Target, Push",Tough - 1d4 - Special Attention,
0,Sky Uppercut,Physical,Fighting,EOT,Melee, Push, 1 Target,,3,3d12+14,"The target is Pushed 2-meters. If the target is airborne, Sky Uppercut deals an additional 2d10. If the target is airborne as a result of Fly or Sky Drop, Sky Uppercut cannot miss as long as you are in a space adjacent to the airborne target.",,,,,,,,"Melee, 1 Target, Push",Cool - 2d4 - Round Starter,
0,Vital Throw,Physical,Fighting,Battle,Melee, Push, 1 Target,,0,3d8+10,"Vital Throw may only be used if the user was targeted by a Move on a foe’s last turn while the foe was adjacent. Vital Throw can only target that foe. Vital Throw cannot miss. The target is Pushed 5-meters and it takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6.",,,,,,,,"Melee, 1 Target, Push",Cool - 2d4 - Slow Set,
0,Blaze Kick,Physical,Fire,Battle,Melee, Push, 1 Target,,4,3d12+14,Blaze Kick Pushes the target 2-meters. Blaze Kick Burns the target on 19-20 during Accuracy Check. Blaze Kick is a Critical Hit on 16-20 during Accuracy Check.,,,,,,,,"Melee, 1 Target, Push",Beauty - 2d4 - Round Starter,
0,Dizzy Punch,Physical,Normal,Battle,Melee, Push, 1 Target,,2,3d8+10,The target is Pushed 2-meters. Dizzy Punch Confuses the target on 17-20 during Accuracy Check.,,,,,,,,"Melee, 1 Target, Push",Cool - None - Inversed Appeal,
0,Strength,Physical,Normal,EOT,Melee, Push, 1 Target,,4,3d10+12,The target is Pushed 8-meters. *Grants: +1 Power,,,,,,,,"Melee, 1 Target, Push",Tough - 3d4 - No Effect,
0,Whirlwind,Effect,Normal,Center,Ranged (6), Push, 1 Target,,2,-,"The target is Pushed 40-meters expelling them from the encounter if the terrain allows. They may still rejoin the encounter if they want to. During a trainer battle, the target’s owner must recall the Pushed target and replace them.",,,,,,,,"Ranged (6), 1 Target, Push",Smart - None - Big Show,
0,Psychic,Special,Psychic,Battle,Ranged (10), Push, 1 Target,,2,3d12+14,The target is Pushed 5-meters in any direction. Psychic lowers the target’s Special Defense 1 Combat Stage on 17-20 during Accuracy Check. *Grants: Telekinetic,,,,,,,,"Ranged (10), 1 Target, Push",Smart - 2d4 - Round Starter,
0,Crabhammer,Physical,Water,Battle,Melee, Push, 1 Target,,3,3d12+14,Crabhammer Pushes the target 2-meters. Crabhammer is a Critical Hit on 18-20 during Accuracy Check.,,,,,,,,"Melee, 1 Target, Push",Tough - 2d4 - Round Starter,
0,Waterfall,Physical,Water,EOT,Melee, Push, 1 Target,,2,3d10+12,"The target is Pushed 2-meters. If the target is airborne, Waterfall deals an additional 1d12 during Damage Dice Roll. Waterfall Flinches the target on 17-20 during Accuracy Check.",,,,17,,Flinches,,"Melee, 1 Target, Push",Tough - 3d4 - No Effect,
0,Fire Pledge,Special,Fire,EOT,Ranged (6), Pledge, 1 Target,,2,2d8+6,"If used on the same turn as Water Pledge, all secondary effects of Moves are activated at a -3 during the Accuracy Check for 1d4+1 turns. If used on the same turn as Grass Pledge, all foes within 20 meters of the user lose 1/8th of their max HP at the end of each round of combat for 1d4+1 turns.",,,,,,,,"Ranged (6), 1 Target, Pledge",Beauty - None - Torrential Appeal,
0,Grass Pledge,Special,Grass,EOT,Ranged (6), Pledge, 1 Target,,2,2d8+6,"If used on the same turn as Water Pledge, all foes are treated as if at -2 Speed Combat Stages for 1d4+1 turns, if any foe has additional Speed Combat Stages, apply them as usual. If used on the same turn as Fire Pledge, all foes within 20 meters of the user lose 1/8th of their max HP at the end of each round of combat for 1d4+1 turns.",,,,,,,,"Ranged (6), 1 Target, Pledge",Beauty - None - Torrential Appeal,
0,Water Pledge,Special,Water,EOT,Ranged (6), Pledge, 1 Target,,2,2d8+6,"If used on the same turn as Fire Pledge, all secondary effects of Moves are activated at a -3 during the Accuracy Check for 1d4+1 turns. If used on the same turn as Grass Pledge, all foes are treated as if at -2 Speed Combat Stages for 1d4+1 turns, if any foe has additional Speed Combat Stages, apply them as usual.",,,,,,,,"Ranged (6), 1 Target, Pledge",Beauty - None - Torrential Appeal,
0,Steamroller,Physical,Bug,EOT,Melee, Pass, 1 Target,,2,3d8+10,"Steamroller Flinches the target on 15-20 during Accuracy Check. If the target is Small, Steamroller deals an additional 1d10.",,,,15,,Flinches,,"Melee, 1 Target, Pass",Tough - 3d4 - No Effect,
0,Night Slash,Physical,Dark,EOT,Melee, Pass, 1 Target,,2,3d8+10,Night Slash is a Critical Hit on 18-20 during Accuracy Check.,,,,,,,,"Melee, 1 Target, Pass",Cool - 3d4 - No Effect,
0,Hi Jump Kick,Physical,Fighting,Battle,Melee, Pass, 1 Target,,3,5d12+22,"If Hi Jump Kick misses, roll 4d10 and subtract the result from the user’s HP. Do not apply weakness, resistance or stats.",,,,,,,,"Melee, 1 Target, Pass",Cool - 3d4 - No Effect,
0,Jump Kick,Physical,Fighting,EOT,Melee, Pass, 1 Target,,3,2d10+8,"If Jump Kick misses, roll 2d10 and subtract the result from the user’s HP. Do not apply weakness, resistance or stats.",,,,,,,,"Melee, 1 Target, Pass",Cool - 3d4 - No Effect,
0,Sacred Sword,Physical,Fighting,Battle,Melee, Pass, 1 Target,,2,3d12+14,Sacred Sword’s Accuracy Check may not be modified.,,,,,,,,"Melee, 1 Target, Pass",Cool - 3d4 - No Effect,
0,Aerial Ace,Physical,Flying,EOT,Melee, Pass, 1 Target,,0,2d10+8,Aerial Ace cannot miss.,,,,,,,,"Melee, 1 Target, Pass",Cool - 2d4 - Round Starter,
0,Sky Attack,Physical,Flying,Battle,Melee, Pass, 1 Target,,4,6d12+22,"Once you declare the use of Sky Attack, the user is moved 10-meters into the air and then the user’s turn ends. On your next turn, shift while in the air, lower your height back to the target and then use Sky Attack’s damage. Sky Attack Flinches the target on 17-20 during Accuracy Check. For Pokemon users, the second turn is their Trainer’s Command Action, unless the Trainer is unconscious, in which case the Pokemon acts on its own, finishing Sky Attack.",,,,17,,Flinches,,"Melee, 1 Target, Pass",Cool - 1d4 - Special Attention,
0,Wing Attack,Physical,Flying,At-Will,Melee, Pass, 1 Target,,2,2d10+8,-,,,,,,,,"Melee, 1 Target, Pass",Cool - 3d4 - No Effect,
0,Shadow Claw,Physical,Ghost,EOT,Melee, Pass, 1 Target,,2,3d8+10,Shadow Claw is a Critical Hit on 18-20 during Accuracy Check.,,,,,,,,"Melee, 1 Target, Pass",Cute - 2d4 - Round Starter,
0,Shadow Sneak,Physical,Ghost,At-Will,Melee, Pass, 1 Target,,2,1d12+6,"If a foe wants to declare a Move, you may instead use Shadow Sneak on their turn before they can use their Move.",,,,,,,,"Melee, 1 Target, Pass, Interrupt",Smart - 2d4 - Quick Set,
0,Leaf Blade,Physical,Grass,Battle,Melee, Pass, 1 Target,,2,3d12+14,Leaf Blade is a Critical Hit on 18-20 during Accuracy Check.,,,,,,,,"Melee, 1 Target, Pass",Cool - 2d4 - Round Starter,
0,Ice Ball,Physical,Ice,EOT,Melee, Pass, 1 Target,,4,1d10+4,"The user must use Ice Ball until it misses, or fails to be able to shift enough to hit a target for their next 4 turns. On the second turn, Ice Ball uses 2d10+8 for its Damage Dice Roll. On the third turn, Ice Ball uses 2d10+12. On the fourth turn, Ice Ball uses 3d10+16. On the fifth and final turn, Ice Ball uses 4d10+20.",,,,,,,,"Melee, 1 Target, Pass",Beauty - 2d4 - Reliable,
0,False Swipe,Physical,Normal,At-Will,Melee, Pass, 1 Target,,2,1d12+6,"If False Swipe would lower the target to 0 HP or less, the target is instead set to 1 HP unless the target was already below 0 HP.",,,,,,,,"Melee, 1 Target, Pass",Cool - None - Inversed Appeal,
0,Scratch,Physical,Normal,At-Will,Melee, Pass, 1 Target,,2,1d12+6,-,,,,,,,,"Melee, 1 Target, Pass",Tough - 3d4 - No Effect,
0,Slash,Physical,Normal,EOT,Melee, Pass, 1 Target,,2,3d8+10,Slash is a Critical Hit on 18-20 during Accuracy Check.,,,,,,,,"Melee, 1 Target, Pass",Cool - 3d4 - No Effect,
0,Cross Poison,Physical,Poison,EOT,Melee, Pass, 1 Target,,2,3d8+10,Cross Poison is a Critical Hit on 18-20 during Accuracy Check. Cross Poison Poisons the target on a Critical Hit during Accuracy Check.,,,,,,,,"Melee, 1 Target, Pass",Cool - 3d4 - No Effect,
0,Poison Tail,Physical,Poison,At-Will,Melee, Pass, 1 Target,,2,2d8+6,Poison Tail is a Critical Hit on 18-20 during Accuracy Check. Poison Tail Poisons the target on 19-20 during Accuracy Check.,,,,,,,,"Melee, 1 Target, Pass",Smart - 2d4 - Incentives,
0,Rock Wrecker,Physical,Rock,Center,Melee, Pass, 1 Target,,4,7d10+28,"On Miss, Rock Wrecker deals the user’s Attack instead to all possible targets. *Grants: Materializer",,,,,,,,"Melee, 1 Target, Pass, Exhaust",Tough - 2d4 - Seen Nothing Yet,
0,Rollout,Physical,Rock,EOT,Melee, Pass, 1 Target,,4,1d10+4,"The user must use Rollout until it misses, or fails to be able to shift enough to hit a target for their next 4 turns. On the second turn, Rollout uses 2d10+8 for its Damage Dice Roll. On the third turn, Rollout uses 2d10+12. On the fourth turn, Rollout uses 3d10+16. On the fifth and final turn, Rollout uses 4d10+20.",,,,,,,,"Melee, 1 Target, Pass",Tough - 2d4 - Reliable,
0,Iron Tail,Physical,Steel,Battle,Melee, Pass, 1 Target,,6,4d12+16,Iron Tail lowers the target’s Defense 1 Combat Stage on 19-20 during Accuracy Check.,,,,,,,,"Melee, 1 Target, Pass",Cool - 2d4 - Round Ender,
0,Metal Claw,Physical,Steel,At-Will,Melee, Pass, 1 Target,,3,2d8+6,Raise the user''s Attack 1 Combat Stage on 18-20 during Accuracy Check.,,,,,,,,"Melee, 1 Target, Pass, Spirit Surge",Cool - 2d4 - Incentives,
